"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cabo Verde","CPV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27908","34421","42766","49424","52555","64794","60386","59498","58825","58111","57587","56332","52909","55751","56692","57909","60226","62727","65377","67761","69833","","","78173","","","","91777","92523","91636","90640","89809","87843","85138","82985","81434","78801","76299","73548","71134","69115","67903","66665","65954","64591","63336","62808","63374","62596","61364","61251","61167","","",
"Costa Rica","CRI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","349378","356152","365545","373901","367901","361303","365957","367026","359680","353894","348674","348616","342373","343800","350658","362877","380384","393305","409621","422102","435205","453297","471049","484958","495879","507037","518603","525273","529637","569513","551465","552302","545509","","558084","542087","546542","536436","534816","531665","520609","506961","494720","480125","475731","473447","475756","472421","483770","497065","492761","487445","482118","474484","",
"Caribbean small states","CSS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","970776.8125","1041006.6875","1060013.875","1041599.6875","1042153.875","999806.5625","982053","987661.625","975247.5625","964808.125","939104.9375","925086.875","931595.9375","928488.8125","914078","904575.375","891093.5625","893299","893085","909770.4375","902808.25","900179.75","908568.6875","912926.4375","917848.9375","908763.6875","896395.5","886215.25","877007.9375","862554.75","864444.1875","853398.5625","838283.25","836083.125","840338.5625","831678.25","820548","804203","811493","800354","778371","770889.75","758462","744958.5","730316.5","725033.4375","715755.875","703894.3125","703763.125","688978.9375","669772.4375","655116.1875","641844.1875","619958.625","623110",
"Cuba","CUB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1530376","1631187","1733208","1778724","1799857","1795752","1747738","1693942","1626386","1550323","1468538","1409765","1363078","1282989","1174453","1077213","1000971","936914","899936","885576","887737","917889","942431","983459","1007769","1074153","1094868","1081085","1074097","1045578","1006888","971542","925335","906293","895045","889834","883132","871444","868477","852744","828293","803194","772023","748534","729781","722164","720329","730263","743698","755286","755363.164","746642","724307","698052",
"Curacao","CUW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20812","","","","","","","12922","","","11693","10086",
"Cayman Islands","CYM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","1623","1686","1932","1897","1933","2234","2101","2113","2109","2123","","","","","","","","","","","","","","","","","","3231","3435","3549","3579","","3361","3240","3461","3706","3736","","","3985","4033","3950","","","","","4299","4418","4534","4350","4449","4575","4334",
"Cyprus","CYP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","69160","66027","64186","63446","56649","56602","55366","55166","54309","50579","48701","46095","46198","46653","47381","50990","54254","56530","58720","60841","62962","63454","64313","64907","64884","64660","64761","","64248","63952","63637","63717","62868","61731","61247","59710","57785","56799","55837","54806","54371","54272","54069","53129","53773","54541","55862","57079","58473","59195","58543","57327","58672","",
"Czechia","CZE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","672455","689139","697540","700364","691700","676554","672390","682519","699852","","647029","683089","712249","721209","708522","694659","668890","633509","599705","566762","545814","537996","528750","538612","538743","541671","659263","662647","654511","644956","630680","603843","566581","534366","502831","473269","462820","459899","460486","463357","468273","477413","491828","510613","534932","557455","575980","583522","581823","571922","563645","554907","579161","",
"Germany","DEU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3431385","3438052","3582582","3639717","3727157","3804887","3859490","3865724","3767460","3655859","3519051","3373176","3303737","3305386","3306136","3329349","3311285","3236158","3150822","3067521","2989678","2936751","2890468","2862690","2879394","2895195","2954775","2987112","2996959","3014502","3038181","3078700","3214132.25","",
"Djibouti","DJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","6422","6968","7781","8524","9306","9764","10198","12782","14121","15227","16841","18896","20433","21847","22533","25212","27136","28844","29833","31378","31706","33251","30589","33005","35024","36223","36896","37217","38194","38191","42392","44321","46364","48713","50651","53745","56667","56395","55546","","60992","63612","63368","64319","62940","61755","61846","62979","68701","69134","70324","71958","69705","",
"Dominica","DMA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17808","17758","17533","17048","17675","17166","17570","17402","16540","15601","14815","14803","","13283","","12340","12772","12600","","12690","12836","12120","12795","12822","12627","","","","12044","11774","11430","10984","10460","9872","9441","8912","8643","8369","8231","8138","8138","8140","7876","7695","7516","7323","7140","6248","6144","6185","6142","5983","5766","5544",
"Denmark","DNK","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","443031","451643","467405","482465","487329","490891","472134","461838","448370","442931","434635","432127","431946","426766","415148","402707","391895","380049","363031","350201","340267","327024","323651","326619","328875","336690","","360683","371694","384197","395870","415205","","419806","414103","415793","415793","410400","406622","403344","470807","470711","469568","467484","468536","471787","472523","468362","461874","452253","443943","435507","435969","",
"Dominican Republic","DOM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","764085","823553","833439","836942","867592","911142","934769","946869","1032508","1069117","1105730","1149805","1092838","1121851","1205582","1219681","","","","","1073189","1090637","1122294","1121819","1121000","1171518","1170445","1267254","1315342","1363609","","1399844","1374624","1281885","1289745","1234450","1355085","1305661","1333468","1317802","1310199","1283515","1291154","1267930","1307128","1287118","1253342","1226414","1236929","1223677","1116804","1155182","1165161","1165388",
"Algeria","DZA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1887148","2057048","2244844","2409367","2525365","2663248","2785264","2894084","2972242","3061252","3118827","3178912","3241924","3336536","3414705","3481288","3635332","3801651","3911388","4027612","4189152","4357352","4436363","4515274","4548827","4617728","4674947","4719137","4778870","4843313","4720950","4691870","4612574","4507703","4361744","4196580","4086925","3942242","3252664","3312440","3363236","3451588","3608812","3765307","3925429","4118362","4283207","4429994","4580288","4852322","4852322","5050667","5187616","5296157",
